Course Name,Course ID
Introduction to Information Security,CS-6035
Computing for Good,CS-6150
Introduction to Operating Systems,CS-6200
Advanced Operating Systems,CS-6210
Secure Computer Systems,CS-6238
Computer Networks,CS-6250
Applied Cryptography,CS-6260
Network Security,CS-6262
Introduction to Cyber Physical Systems Security,CS-6263
Information Security Lab: System & Network Defenses,CS-6264
Information Security Lab,CS-6265
Information Security Practicum,CS-6266
High Performance Computer Architecture,CS-6290
Embedded Systems Optimization,CS-6291
Software Development Process,CS-6300
Software Architecture & Design,CS-6310
Software Analysis,CS-6340
Database Systems Concepts & Design,CS-6400
Introduction to Health Informatics,CS-6440
Video Game Design,CS-6457
Educational Technology,CS-6460
Computational Journalism,CS-6465
Computational Photography,CS-6475
Computer Vision,CS-6476
Introduction to Graduate Algorithms,CS-6515
Artificial Intelligence,CS-6601
"AI, Ethics & Society",CS-6603
Advanced Internet Systems & Applications,CS-6675
"Privacy, Technology, Policy & Law",CS-6726
Cybersecurity Practicum,CS-6727
Advanced Malware Analysis,CS-6747
Human-Computer Interaction,CS-6750
Introduction to Cognitive Science,CS-6795
Distributed Computing,CS-7210
Network Science,CS-7280
Information Visualization,CS-7450
Mobile & Ubiquitous Computing,CS-7470
Game AI,CS-7632
Knowledge-Based Artificial Intelligence: Cognitive Systems,CS-7637
Artificial Intelligence for Robotics,CS-7638
Cyber Physical Design & Analysis,CS-7639
Machine Learning,CS-7641
Reinforcement Learning,CS-7642
Deep Learning,CS-7643
Machine Learning for Trading,CS-7646
Embedded Software,CS-8803-O04
Data Visualization for Health Informatics,CS-8803-O05
Biomedical Analytics,CS-8803-O06
Compilers: Theory & Practice,CS-8803-O08
Systems Issues in Cloud Computing,CS-8803-O12
High Performance Computing,CSE-6220
Computational Aspects of Cyber Physical Systems,ECE-6150
Embedded Systems,ECE-8803c
Introduction to Cyber Physical Systems Security,ECE-8813
Advanced Hardware Oriented Security & Trust,ECE-8873
Time Series Analysis,ISYE-6402
Bayesian Statistics,ISYE-6420
Computational Data Analytics,ISYE-6740
Privacy for Professionals,MGT-6727
Internet & Public Policy,PUBP-6111
Vertically Integrated Projects,VIP-6600
Security Operations & Incidence Response,CS-8803-OC1
Web Search & Text Mining,CSE-6240
Energy Systems Practicum,ECE-6266
Embedded Systems Security,ECE-8803d
Cyber Physical Design,ECE-8823
Scenario & Path Gaming,INTA-6014
Nonparametric Data Analysis,ISYE-6404
Introduction to Analytics Modeling,ISYE-6501
Data Mining & Statistical Learning,ISYE-7406
Applied Analytics Practicum,MGT-6748
Policy Practicum,PUBP-6266
Malware Analysis & Defense,CS-8813
Data & Visual Analytics,CSE-6242
Power Systems Control & Operation,ECE-6320
Introduction to Cyber Physical Electric Energy Systems,ECE-8803e
Side Channels & Their Role in Cyberpsecurity,ECE-8843
International Security,INTA-6103
Design & Analysis of Experiments,ISYE-6413
Simulation & Modeling for Engineering & Science,ISYE-6644
High-Dimensional Data Analytics,ISYE-8803
Business Fundamentals for Analytics,MGT-8803
Information Policy & Management,PUBP-6501
Computing for Data Analytics,CSE-6040
Big Data for Health Informatics,CSE-6250
Power Systems Protection,ECE-6323
Smart Grids,ECE-8803g
Introduction to Cyber Physical Electric Energy Systems,ECE-8853
Data Analytics & Security,INTA-6450
Regression Analysis,ISYE-6414
Probabilistic Models,ISYE-6650
Data Analytics & Business,MGT-6203
Financial Modeling,MGT-8813
Information & Communications Policy,PUBP-6502
Computational Science & Engineering Algorithms,CSE-6140
"Modeling, Simulation & Military Gaming",CSE-6742
Computational Aspects of Cyber Physical Systems,ECE-8803a
Software Vulnerabilities & Security,ECE-8803h
Principles of Smart Electricity Grids,ECE-8863
Challenge of Terrorism in Democratic Societies,INTA-8803G
Computational Statistics,ISYE-6416
Deterministic Optimization,ISYE-6669
Digital Marketing,MGT-6311
Data Analytics & Continuous Improvement,MGT-8823
Information Security Policies,PUBP-6725
